name,value
Sauco,86110
"Acacia negra, gris",55327
"Jazmín del cabo, laurel huesito",52174
Acacia japonesa,41762
"Urapán, Fresno",41445
Holly liso,39383
Eucalipto común,34199
"Ciprés, Pino ciprés, Pino",33652
Eugenia,33111
"Acacia baracatinga, acacia sabanera, acacia nigra",31833
Hayuelo,29736
"Chicalá, chirlobirlo, flor amarillo",29257
Guayacán de Manizales,26526
Caucho sabanero,26409
"Palma yuca, palmiche",23460
Falso pimiento,22870
Cayeno,20715
Arrayán blanco,18111
"Aliso, fresno, chaquiro",17903
Roble,17549
