Codigo_Localidad,Codigo_UPZ,Cantidad
1,101,1085
1,103,2019
1,105,2856
1,352,1
1,38,102918
1,56,1928
1,64,2278
1,94,2463
1,95,722
1,97,3864
2,103,2
2,105,21
2,110,50861
2,111,2671
2,114,2
2,149,660
2,152,2070
2,164,38
3,,3
3,149,635
3,164,56769
3,181,350
3,191,40
3,192,347
3,194,346
3,356,1320
4,192,1192
4,196,55317
4,199,1757
4,201,1876
4,204,4303
4,219,24
4,32,1435
5,204,3498
5,212,4810
5,217,3352
5,219,1608
5,268,636
5,342,1685
5,35,10
5,36,83141
6,200,332
6,27,34379
7,147,21968
7,158,2462
7,161,2158
7,182,10437
7,190,2563
7,193,2
7,195,10
8,118,3
8,138,96332
8,142,6809
8,143,4975
8,148,1428
8,156,2031
8,157,2921
8,159,1585
8,16,4
8,162,1772
8,163,1205
8,18,3145
8,182,1
8,193,2
8,21,1595
8,23,4829
8,27,9
9,102,40929
9,106,497
9,107,10
9,108,2418
9,109,1961
9,11,37
9,113,2397
9,118,3852
9,12,2494
9,138,3
9,15,4
9,16,5
9,6,3399
9,7,3
10,100,2162
10,102,27
10,104,1138
10,107,2493
10,11,761
10,3,41
10,5,1891
10,61,1610
10,7,1305
10,93,7
10,96,83961
10,98,2640
10,99,2080
11,,41
11,100,16
11,2,12959
11,3,2346
11,351,2968
11,352,1303
11,355,2736
11,37,248944
11,47,452
11,5,24
11,53,2125
11,56,5
11,60,4490
11,61,5091
11,62,2862
11,93,4046
11,97,5
12,10,2586
12,112,1217
12,149,2
12,3,3
12,352,2
12,5,4
12,8,30620
12,9,1878
13,10,36
13,112,3
13,13,54097
13,14,1060
13,149,5
13,15,2774
13,155,743
13,160,1272
13,164,1
13,165,11
13,17,1060
13,20,2
14,165,6507
14,25,599
14,26,2
14,356,16
15,196,24
15,25,6
15,26,10430
15,27,6
15,28,25
15,29,1056
16,16,33750
16,17,2
16,18,1
16,19,1199
16,20,1692
16,22,3885
16,24,1541
16,26,81
16,27,3
17,191,7423
17,192,272
17,194,50
17,356,1
18,200,5
18,26,3
18,28,50817
18,30,2330
18,31,437
18,32,15
18,33,1247
18,35,2682
18,36,176
19,193,36477
19,195,8190
19,197,1461
19,198,737
19,200,6
19,202,2832
19,203,383
19,205,849
19,218,984
19,27,11
